epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4021,1.46214,3.56566,1.93614,0.00348,0.93093,0.11331,0.05138,1.36387,3.65968,2.27208,0.00018887,0.00018887,0.00018887
2,21.0891,1.24009,3.01209,1.73132,0.00586,0.99331,0.09637,0.05014,1.2718,3.44115,2.05801,0.000385,0.000385,0.000385
3,30.6784,1.15781,2.68477,1.64312,0.53974,0.2147,0.14426,0.07585,1.35395,2.69958,2.21622,0.000577171,0.000577171,0.000577171
4,40.8947,1.1427,2.55146,1.60088,0.53915,0.37388,0.20708,0.11563,1.41769,2.37424,2.30412,0.000765382,0.000765382,0.000765382
5,50.1298,1.14451,2.45611,1.62485,0.37276,0.38954,0.24695,0.13624,1.3985,2.26985,2.31085,0.000949634,0.000949634,0.000949634
6,59.5841,1.1436,2.35976,1.61641,0.94677,0.13994,0.24791,0.13947,1.30753,2.84593,2.13461,0.00105601,0.00105601,0.00105601
7,68.4298,1.12806,2.34065,1.61451,0.59801,0.32344,0.28532,0.16772,1.32322,3.12434,2.09227,0.00104501,0.00104501,0.00104501
8,76.8008,1.11367,2.2353,1.58095,0.66953,0.34998,0.30693,0.15079,1.50825,2.19693,2.37616,0.00103401,0.00103401,0.00103401
9,85.1444,1.13738,2.17299,1.60154,0.62584,0.38406,0.31879,0.16002,1.47532,2.38757,2.39415,0.00102301,0.00102301,0.00102301
10,93.4117,1.07749,2.05872,1.52967,0.45242,0.3228,0.30463,0.18027,1.37481,1.94043,2.26139,0.00101201,0.00101201,0.00101201
11,101.832,1.06803,2.03061,1.57143,0.58926,0.29919,0.33347,0.18509,1.29404,2.72375,2.25894,0.00100101,0.00100101,0.00100101
12,110.109,1.11513,2.05995,1.57138,0.65042,0.27837,0.30876,0.18932,1.26331,2.31687,2.01979,0.000990012,0.000990012,0.000990012
13,118.25,1.05829,1.95536,1.53681,0.6737,0.19661,0.23225,0.13625,1.38852,2.4992,2.14798,0.000979013,0.000979013,0.000979013
14,126.559,1.09341,1.90402,1.58596,0.5504,0.41031,0.40757,0.23096,1.2598,1.91517,2.05253,0.000968014,0.000968014,0.000968014
15,134.753,1.0561,1.8059,1.54227,0.47163,0.3915,0.3391,0.18161,1.49863,1.98991,2.3366,0.000957015,0.000957015,0.000957015
16,143.019,1.06425,1.7257,1.53853,0.73505,0.36168,0.43701,0.25911,1.24898,1.84263,2.00088,0.000946016,0.000946016,0.000946016
17,151.273,1.03995,1.73052,1.55253,0.52408,0.44321,0.41465,0.22839,1.30096,1.71951,2.05271,0.000935018,0.000935018,0.000935018
18,159.459,1.01976,1.75752,1.50737,0.53533,0.44303,0.45508,0.2973,1.10812,1.53451,1.80635,0.000924019,0.000924019,0.000924019
19,167.627,1.04048,1.68566,1.50876,0.60373,0.53656,0.50084,0.34581,1.01639,1.3699,1.68379,0.00091302,0.00091302,0.00091302
20,175.861,0.97626,1.59465,1.46669,0.62172,0.46918,0.48274,0.29719,1.11869,1.67625,1.8165,0.000902021,0.000902021,0.000902021
21,184.272,1.01952,1.5206,1.48754,0.49141,0.47012,0.38451,0.18855,1.60237,1.99741,2.22088,0.000891022,0.000891022,0.000891022
22,192.334,1.01577,1.6124,1.507,0.63123,0.56681,0.57302,0.36819,1.1696,1.4871,1.8445,0.000880023,0.000880023,0.000880023
23,200.573,0.92856,1.50565,1.4481,0.68064,0.47328,0.52965,0.35153,1.02965,1.45214,1.72157,0.000869024,0.000869024,0.000869024
24,208.741,0.95261,1.57722,1.44842,0.67656,0.45166,0.5015,0.324,1.16941,1.44689,1.87076,0.000858025,0.000858025,0.000858025
25,216.889,0.91799,1.52718,1.44651,0.55689,0.59413,0.59341,0.39652,1.03668,1.48777,1.75956,0.000847026,0.000847026,0.000847026
26,225,0.92463,1.44581,1.44102,0.76201,0.55253,0.639,0.44132,1.04093,1.23745,1.72716,0.000836027,0.000836027,0.000836027
27,233.009,0.93942,1.46681,1.43485,0.61548,0.68838,0.69639,0.49083,0.96471,1.17848,1.64953,0.000825029,0.000825029,0.000825029
28,241.231,0.92838,1.45667,1.42793,0.70035,0.56752,0.61405,0.42954,1.02701,1.15221,1.70682,0.00081403,0.00081403,0.00081403
29,249.468,0.92108,1.36805,1.42333,0.74159,0.53952,0.63085,0.4288,1.02406,1.17997,1.71003,0.000803031,0.000803031,0.000803031
30,257.575,0.93273,1.35866,1.44773,0.71079,0.61669,0.70186,0.44474,1.11321,1.23913,1.79581,0.000792032,0.000792032,0.000792032
31,265.646,0.85869,1.31019,1.40797,0.43642,0.71911,0.59427,0.4112,0.93411,1.30262,1.64039,0.000781033,0.000781033,0.000781033
32,273.671,0.86781,1.31064,1.38488,0.67899,0.62023,0.66631,0.42132,1.0708,1.257,1.69418,0.000770034,0.000770034,0.000770034
33,282.035,0.86714,1.24419,1.38522,0.64221,0.695,0.66837,0.47626,0.93103,1.10852,1.5638,0.000759035,0.000759035,0.000759035
34,290.13,0.83288,1.24327,1.37342,0.77043,0.65469,0.68591,0.45077,1.12576,1.13272,1.84615,0.000748036,0.000748036,0.000748036
35,298.37,0.90472,1.2227,1.40332,0.79545,0.62167,0.70391,0.50951,0.93513,1.09882,1.60548,0.000737037,0.000737037,0.000737037
36,306.634,0.80692,1.2316,1.3547,0.74284,0.53405,0.7017,0.51411,0.97818,1.25169,1.60543,0.000726038,0.000726038,0.000726038
37,314.928,0.84371,1.20823,1.35482,0.83208,0.6071,0.82539,0.64235,0.84797,1.01336,1.53343,0.00071504,0.00071504,0.00071504
38,322.996,0.83952,1.15397,1.35916,0.74751,0.74962,0.85225,0.65132,0.84919,0.95773,1.50758,0.000704041,0.000704041,0.000704041
39,331.08,0.83432,1.15009,1.35629,0.62206,0.74021,0.78464,0.56402,0.91344,1.05337,1.55576,0.000693042,0.000693042,0.000693042
40,339.153,0.80995,1.13338,1.3414,0.6,0.75284,0.77611,0.55504,0.90121,1.0018,1.56544,0.000682043,0.000682043,0.000682043
41,347.276,0.81789,1.13939,1.36601,0.65087,0.72042,0.77146,0.54576,0.99652,1.04567,1.63313,0.000671044,0.000671044,0.000671044
42,355.245,0.83184,1.18135,1.34182,0.68762,0.75768,0.80636,0.62748,0.84223,0.93007,1.47971,0.000660045,0.000660045,0.000660045
43,363.281,0.8386,1.14733,1.32396,0.7386,0.71232,0.81426,0.61323,0.84497,0.93312,1.49987,0.000649046,0.000649046,0.000649046
44,371.114,0.81297,1.12077,1.33129,0.77336,0.75615,0.82672,0.626,0.84055,0.98477,1.47164,0.000638047,0.000638047,0.000638047
45,378.976,0.77497,1.07304,1.30238,0.64919,0.77379,0.87355,0.6589,0.81537,0.90158,1.44863,0.000627048,0.000627048,0.000627048
46,386.978,0.79666,1.09838,1.32767,0.86993,0.64183,0.86533,0.6633,0.7965,0.87244,1.45633,0.000616049,0.000616049,0.000616049
47,394.889,0.78981,1.10235,1.32404,0.64809,0.859,0.88771,0.66822,0.79903,0.82725,1.44297,0.000605051,0.000605051,0.000605051
48,402.93,0.80146,1.07741,1.33597,0.84538,0.81631,0.88809,0.67785,0.76405,0.82091,1.38164,0.000594052,0.000594052,0.000594052
49,410.747,0.78123,1.10406,1.31421,0.82864,0.78737,0.8909,0.71305,0.7732,0.80642,1.40238,0.000583053,0.000583053,0.000583053
50,418.689,0.77131,1.02209,1.32873,0.75423,0.86582,0.87034,0.68534,0.75727,0.76394,1.41155,0.000572054,0.000572054,0.000572054
51,426.671,0.74486,0.98,1.27882,0.88972,0.7714,0.89965,0.72228,0.78284,0.77715,1.4293,0.000561055,0.000561055,0.000561055
52,434.61,0.75864,1.08829,1.30762,0.92077,0.80005,0.92475,0.70942,0.83093,0.79208,1.46087,0.000550056,0.000550056,0.000550056
53,442.664,0.78624,1.05024,1.32189,0.86614,0.84585,0.9158,0.70425,0.80292,0.76262,1.4162,0.000539057,0.000539057,0.000539057
54,450.658,0.79815,1.05961,1.32006,0.86145,0.79549,0.91932,0.71048,0.80914,0.77872,1.41138,0.000528058,0.000528058,0.000528058
55,458.641,0.757,0.99142,1.29149,0.8654,0.8851,0.92982,0.77558,0.70283,0.72027,1.32663,0.000517059,0.000517059,0.000517059
56,466.545,0.74838,0.92505,1.27171,0.85361,0.82529,0.89177,0.73774,0.70673,0.76506,1.34349,0.00050606,0.00050606,0.00050606
57,474.436,0.72697,0.99136,1.26975,0.85145,0.80464,0.87917,0.72072,0.75439,0.86168,1.38333,0.000495062,0.000495062,0.000495062
58,482.615,0.69188,0.96866,1.25472,0.90887,0.86276,0.93984,0.77356,0.70687,0.70292,1.31933,0.000484063,0.000484063,0.000484063
59,490.547,0.7001,0.89672,1.27,0.8608,0.89013,0.92141,0.76166,0.68156,0.73641,1.28576,0.000473064,0.000473064,0.000473064
60,498.578,0.72326,0.93809,1.27109,0.85562,0.8494,0.92343,0.76653,0.69026,0.71293,1.31751,0.000462065,0.000462065,0.000462065
61,506.437,0.72781,0.94416,1.26676,0.79611,0.89588,0.92076,0.76041,0.71216,0.73204,1.336,0.000451066,0.000451066,0.000451066
62,514.438,0.73463,0.9151,1.27177,0.90647,0.82135,0.93445,0.77484,0.70127,0.78405,1.30298,0.000440067,0.000440067,0.000440067
63,522.316,0.65703,0.84537,1.22245,0.89384,0.91885,0.95597,0.81712,0.64119,0.63247,1.26672,0.000429068,0.000429068,0.000429068
64,530.213,0.69334,0.8874,1.26166,0.84762,0.87335,0.92728,0.75969,0.70388,0.71134,1.32208,0.000418069,0.000418069,0.000418069
65,537.966,0.69425,0.89223,1.24769,0.91477,0.88818,0.9339,0.76802,0.69307,0.67852,1.30355,0.00040707,0.00040707,0.00040707
66,545.937,0.66691,0.83828,1.23288,0.91194,0.82333,0.93513,0.78708,0.64634,0.62727,1.25362,0.000396071,0.000396071,0.000396071
67,553.834,0.67078,0.87521,1.21777,0.81455,0.80199,0.89112,0.73519,0.66123,0.72677,1.26319,0.000385073,0.000385073,0.000385073
68,561.696,0.67614,0.87281,1.21646,0.78928,0.87572,0.90103,0.76968,0.60388,0.65268,1.21217,0.000374074,0.000374074,0.000374074
69,569.841,0.64415,0.83111,1.22469,0.88894,0.87977,0.94601,0.7913,0.64065,0.64774,1.24753,0.000363075,0.000363075,0.000363075
70,577.657,0.69274,0.86452,1.23222,0.93292,0.81341,0.94958,0.79699,0.62287,0.66396,1.20499,0.000352076,0.000352076,0.000352076
71,585.717,0.64549,0.80554,1.20631,0.92299,0.87518,0.95963,0.81814,0.5927,0.5778,1.18852,0.000341077,0.000341077,0.000341077
72,593.65,0.62116,0.78924,1.19599,0.86437,0.91158,0.94671,0.84255,0.5647,0.56396,1.16451,0.000330078,0.000330078,0.000330078
73,601.482,0.6336,0.77735,1.19537,0.92133,0.87275,0.94803,0.83367,0.58143,0.61458,1.1784,0.000319079,0.000319079,0.000319079
74,609.348,0.61193,0.80015,1.20331,0.95111,0.90335,0.97457,0.84304,0.59535,0.57102,1.18841,0.00030808,0.00030808,0.00030808
